operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650576193606|1650576193606|104|0|1290688157299
LdbcQuery13|1650576193606|1650576193711|4|1|1290688157299
LdbcQuery10|1650576193619|1650576193715|4|0|1290688170730
LdbcQuery11|1650576193637|1650576193719|3|0|1290688188638
LdbcQuery3|1650576193660|1650576193723|126|0|1290688211023
LdbcQuery4|1650576193673|1650576193850|4|0|1290688224454
LdbcQuery2|1650576193682|1650576193854|4|0|1290688233408
LdbcQuery13|1650576193691|1650576193858|4|1|1290688242362
LdbcQuery1|1650576193700|1650576193862|4|0|1290688251316
LdbcQuery11|1650576193709|1650576193867|4|0|1290688260270
LdbcQuery7|1650576193740|1650576193871|94|0|1290688291609
LdbcQuery12|1650576193745|1650576193966|115|0|1290688296086
LdbcQuery10|1650576193754|1650576194081|4|0|1290688305040
LdbcQuery8|1650576193754|1650576194086|21|20|1290688305040
LdbcShortQuery4MessageContent|1650576194107|1650576194107|3|1|-1
LdbcShortQuery5MessageCreator|1650576194110|1650576194111|3|1|-1
LdbcShortQuery6MessageForum|1650576194114|1650576194115|4|1|-1
LdbcShortQuery7MessageReplies|1650576194119|1650576194119|4|0|-1
LdbcQuery13|1650576193776|1650576194124|4|1|1290688327425
LdbcShortQuery1PersonProfile|1650576194128|1650576194128|3|1|-1
LdbcShortQuery2PersonPosts|1650576194131|1650576194132|8|10|-1
LdbcShortQuery3PersonFriends|1650576194140|1650576194140|9|497|-1
LdbcShortQuery4MessageContent|1650576194149|1650576194150|3|1|-1
LdbcShortQuery5MessageCreator|1650576194153|1650576194153|3|1|-1
LdbcShortQuery6MessageForum|1650576194156|1650576194157|4|1|-1
LdbcShortQuery7MessageReplies|1650576194161|1650576194161|10|1|-1
LdbcShortQuery1PersonProfile|1650576194171|1650576194171|3|1|-1
LdbcShortQuery2PersonPosts|1650576194174|1650576194175|5|10|-1
LdbcShortQuery3PersonFriends|1650576194180|1650576194181|4|13|-1
LdbcShortQuery4MessageContent|1650576194185|1650576194185|3|1|-1
LdbcShortQuery5MessageCreator|1650576194188|1650576194189|4|1|-1
LdbcShortQuery6MessageForum|1650576194193|1650576194193|4|1|-1
LdbcShortQuery7MessageReplies|1650576194197|1650576194198|4|0|-1
LdbcQuery11|1650576193781|1650576194202|4|0|1290688331902
LdbcShortQuery4MessageContent|1650576194206|1650576194206|4|1|-1
LdbcShortQuery5MessageCreator|1650576194210|1650576194210|3|1|-1
LdbcShortQuery6MessageForum|1650576194213|1650576194214|3|1|-1
