operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650579067033|1650579067033|77|0|1290688157299
LdbcQuery13|1650579067033|1650579067111|4|1|1290688157299
LdbcQuery10|1650579067046|1650579067115|4|0|1290688170730
LdbcQuery11|1650579067064|1650579067120|4|0|1290688188638
LdbcQuery3|1650579067087|1650579067125|148|0|1290688211023
LdbcQuery4|1650579067100|1650579067273|4|0|1290688224454
LdbcQuery2|1650579067109|1650579067278|4|0|1290688233408
LdbcQuery13|1650579067118|1650579067282|4|1|1290688242362
LdbcQuery1|1650579067127|1650579067287|4|0|1290688251316
LdbcQuery11|1650579067136|1650579067292|4|0|1290688260270
LdbcQuery7|1650579067167|1650579067297|97|0|1290688291609
LdbcQuery12|1650579067172|1650579067394|117|0|1290688296086
LdbcQuery10|1650579067181|1650579067512|4|0|1290688305040
LdbcQuery8|1650579067181|1650579067516|17|20|1290688305040
LdbcShortQuery4MessageContent|1650579067533|1650579067534|4|1|-1
LdbcShortQuery5MessageCreator|1650579067538|1650579067539|4|1|-1
LdbcShortQuery6MessageForum|1650579067543|1650579067543|4|1|-1
LdbcShortQuery7MessageReplies|1650579067547|1650579067547|4|0|-1
LdbcQuery13|1650579067203|1650579067552|3|1|1290688327425
LdbcShortQuery1PersonProfile|1650579067555|1650579067556|3|1|-1
LdbcShortQuery2PersonPosts|1650579067559|1650579067560|8|10|-1
LdbcShortQuery3PersonFriends|1650579067568|1650579067568|11|497|-1
LdbcShortQuery4MessageContent|1650579067579|1650579067580|3|1|-1
LdbcShortQuery5MessageCreator|1650579067583|1650579067584|3|1|-1
LdbcShortQuery6MessageForum|1650579067587|1650579067588|3|1|-1
LdbcShortQuery7MessageReplies|1650579067591|1650579067591|10|1|-1
LdbcShortQuery1PersonProfile|1650579067601|1650579067602|3|1|-1
LdbcShortQuery2PersonPosts|1650579067605|1650579067605|4|10|-1
LdbcShortQuery3PersonFriends|1650579067609|1650579067610|3|13|-1
LdbcShortQuery4MessageContent|1650579067613|1650579067614|3|1|-1
LdbcShortQuery5MessageCreator|1650579067617|1650579067618|3|1|-1
LdbcShortQuery6MessageForum|1650579067621|1650579067621|3|1|-1
LdbcShortQuery7MessageReplies|1650579067624|1650579067625|3|0|-1
LdbcQuery11|1650579067208|1650579067629|3|0|1290688331902
LdbcShortQuery4MessageContent|1650579067632|1650579067632|3|1|-1
LdbcShortQuery5MessageCreator|1650579067635|1650579067636|4|1|-1
LdbcShortQuery6MessageForum|1650579067640|1650579067640|3|1|-1
