operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650577219370|1650577219370|75|0|1290688157299
LdbcQuery13|1650577219370|1650577219446|4|1|1290688157299
LdbcQuery10|1650577219383|1650577219450|4|0|1290688170730
LdbcQuery11|1650577219401|1650577219455|4|0|1290688188638
LdbcQuery3|1650577219424|1650577219459|145|0|1290688211023
LdbcQuery4|1650577219437|1650577219605|4|0|1290688224454
LdbcQuery2|1650577219446|1650577219609|4|0|1290688233408
LdbcQuery13|1650577219455|1650577219614|4|1|1290688242362
LdbcQuery1|1650577219464|1650577219618|4|0|1290688251316
LdbcQuery11|1650577219473|1650577219623|4|0|1290688260270
LdbcQuery7|1650577219504|1650577219627|96|0|1290688291609
LdbcQuery12|1650577219509|1650577219723|108|0|1290688296086
LdbcQuery10|1650577219518|1650577219831|4|0|1290688305040
LdbcQuery8|1650577219518|1650577219836|17|20|1290688305040
LdbcShortQuery4MessageContent|1650577219853|1650577219853|3|1|-1
LdbcShortQuery5MessageCreator|1650577219856|1650577219857|3|1|-1
LdbcShortQuery6MessageForum|1650577219860|1650577219861|3|1|-1
LdbcShortQuery7MessageReplies|1650577219864|1650577219865|4|0|-1
LdbcQuery13|1650577219540|1650577219870|4|1|1290688327425
LdbcShortQuery1PersonProfile|1650577219874|1650577219874|3|1|-1
LdbcShortQuery2PersonPosts|1650577219877|1650577219878|8|10|-1
LdbcShortQuery3PersonFriends|1650577219886|1650577219887|11|497|-1
LdbcShortQuery4MessageContent|1650577219898|1650577219898|4|1|-1
LdbcShortQuery5MessageCreator|1650577219902|1650577219902|4|1|-1
LdbcShortQuery6MessageForum|1650577219906|1650577219906|4|1|-1
LdbcShortQuery7MessageReplies|1650577219910|1650577219911|12|1|-1
LdbcShortQuery1PersonProfile|1650577219923|1650577219923|4|1|-1
LdbcShortQuery2PersonPosts|1650577219927|1650577219928|5|10|-1
LdbcShortQuery3PersonFriends|1650577219933|1650577219933|4|13|-1
LdbcShortQuery4MessageContent|1650577219937|1650577219938|4|1|-1
LdbcShortQuery5MessageCreator|1650577219942|1650577219942|4|1|-1
LdbcShortQuery6MessageForum|1650577219946|1650577219946|4|1|-1
LdbcShortQuery7MessageReplies|1650577219950|1650577219951|3|0|-1
LdbcQuery11|1650577219545|1650577219955|4|0|1290688331902
LdbcShortQuery4MessageContent|1650577219959|1650577219959|4|1|-1
LdbcShortQuery5MessageCreator|1650577219963|1650577219963|4|1|-1
LdbcShortQuery6MessageForum|1650577219967|1650577219967|3|1|-1
LdbcShortQuery7MessageReplies|1650577219970|1650577219971|4|0|-1
LdbcShortQuery1PersonProfile|1650577219975|1650577219976|4|1|-1
LdbcShortQuery2PersonPosts|1650577219980|1650577219980|8|10|-1
LdbcShortQuery3PersonFriends|1650577219988|1650577219988|6|99|-1
LdbcQuery14|1650577219554|1650577219994|4|0|1290688340856
LdbcShortQuery1PersonProfile|1650577219998|1650577219999|3|1|-1
LdbcShortQuery2PersonPosts|1650577220002|1650577220002|10|10|-1
LdbcShortQuery3PersonFriends|1650577220012|1650577220013|7|187|-1
LdbcShortQuery4MessageContent|1650577220020|1650577220020|3|1|-1
