operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650577532571|1650577532571|76|0|1290688157299
LdbcQuery13|1650577532571|1650577532647|4|1|1290688157299
LdbcQuery10|1650577532584|1650577532652|4|0|1290688170730
LdbcQuery11|1650577532602|1650577532656|4|0|1290688188638
LdbcQuery3|1650577532625|1650577532661|124|0|1290688211023
LdbcQuery4|1650577532638|1650577532785|4|0|1290688224454
LdbcQuery2|1650577532647|1650577532789|3|0|1290688233408
LdbcQuery13|1650577532656|1650577532793|3|1|1290688242362
LdbcQuery1|1650577532665|1650577532797|4|0|1290688251316
LdbcQuery11|1650577532674|1650577532801|4|0|1290688260270
LdbcQuery7|1650577532705|1650577532806|95|0|1290688291609
LdbcQuery12|1650577532710|1650577532901|115|0|1290688296086
LdbcQuery10|1650577532719|1650577533016|5|0|1290688305040
LdbcQuery8|1650577532719|1650577533022|17|20|1290688305040
LdbcShortQuery4MessageContent|1650577533039|1650577533040|4|1|-1
LdbcShortQuery5MessageCreator|1650577533044|1650577533044|3|1|-1
LdbcShortQuery6MessageForum|1650577533047|1650577533048|3|1|-1
LdbcShortQuery7MessageReplies|1650577533051|1650577533052|3|0|-1
LdbcQuery13|1650577532741|1650577533056|3|1|1290688327425
LdbcShortQuery1PersonProfile|1650577533059|1650577533059|3|1|-1
LdbcShortQuery2PersonPosts|1650577533062|1650577533063|9|10|-1
LdbcShortQuery3PersonFriends|1650577533072|1650577533072|10|497|-1
LdbcShortQuery4MessageContent|1650577533082|1650577533083|3|1|-1
LdbcShortQuery5MessageCreator|1650577533086|1650577533086|3|1|-1
LdbcShortQuery6MessageForum|1650577533089|1650577533090|3|1|-1
LdbcShortQuery7MessageReplies|1650577533093|1650577533094|10|1|-1
LdbcShortQuery1PersonProfile|1650577533104|1650577533105|3|1|-1
LdbcShortQuery2PersonPosts|1650577533108|1650577533108|4|10|-1
LdbcShortQuery3PersonFriends|1650577533112|1650577533113|4|13|-1
LdbcShortQuery4MessageContent|1650577533117|1650577533117|3|1|-1
LdbcShortQuery5MessageCreator|1650577533120|1650577533121|3|1|-1
LdbcShortQuery6MessageForum|1650577533124|1650577533124|3|1|-1
LdbcShortQuery7MessageReplies|1650577533127|1650577533128|4|0|-1
LdbcQuery11|1650577532746|1650577533133|3|0|1290688331902
LdbcShortQuery4MessageContent|1650577533136|1650577533136|3|1|-1
LdbcShortQuery5MessageCreator|1650577533139|1650577533140|3|1|-1
LdbcShortQuery6MessageForum|1650577533143|1650577533144|3|1|-1
LdbcShortQuery7MessageReplies|1650577533147|1650577533147|3|0|-1
LdbcShortQuery1PersonProfile|1650577533150|1650577533151|3|1|-1
LdbcShortQuery2PersonPosts|1650577533154|1650577533154|6|10|-1
LdbcShortQuery3PersonFriends|1650577533160|1650577533161|5|99|-1
LdbcQuery14|1650577532755|1650577533166|3|0|1290688340856
LdbcShortQuery1PersonProfile|1650577533169|1650577533170|3|1|-1
LdbcShortQuery2PersonPosts|1650577533173|1650577533173|9|10|-1
LdbcShortQuery3PersonFriends|1650577533182|1650577533183|6|187|-1
LdbcShortQuery4MessageContent|1650577533189|1650577533190|4|1|-1
LdbcShortQuery5MessageCreator|1650577533194|1650577533194|4|1|-1
LdbcShortQuery6MessageForum|1650577533198|1650577533198|4|1|-1
LdbcShortQuery7MessageReplies|1650577533202|1650577533202|7|3|-1
LdbcShortQuery1PersonProfile|1650577533209|1650577533209|4|1|-1
LdbcShortQuery2PersonPosts|1650577533213|1650577533213|15|10|-1
LdbcShortQuery3PersonFriends|1650577533228|1650577533229|5|44|-1
LdbcQuery1|1650577532781|1650577533235|4|0|1290688367718
LdbcShortQuery4MessageContent|1650577533239|1650577533240|13|1|-1
LdbcShortQuery5MessageCreator|1650577533253|1650577533254|12|1|-1
LdbcShortQuery6MessageForum|1650577533266|1650577533267|18|1|-1
LdbcShortQuery7MessageReplies|1650577533285|1650577533285|30|6|-1
LdbcShortQuery1PersonProfile|1650577533315|1650577533316|3|1|-1
LdbcShortQuery2PersonPosts|1650577533319|1650577533320|6|10|-1
