operation_type|scheduled_start_time|actual_start_time|execution_duration_MILLISECONDS|result_code|original_start_time
LdbcQuery5|1650576725697|1650576725697|89|0|1290688157299
LdbcQuery13|1650576725697|1650576725787|3|1|1290688157299
LdbcQuery10|1650576725710|1650576725791|4|0|1290688170730
LdbcQuery11|1650576725728|1650576725795|3|0|1290688188638
LdbcQuery3|1650576725751|1650576725799|131|0|1290688211023
LdbcQuery4|1650576725764|1650576725930|3|0|1290688224454
LdbcQuery2|1650576725773|1650576725934|3|0|1290688233408
LdbcQuery13|1650576725782|1650576725938|3|1|1290688242362
LdbcQuery1|1650576725791|1650576725942|4|0|1290688251316
LdbcQuery11|1650576725800|1650576725946|4|0|1290688260270
LdbcQuery7|1650576725831|1650576725951|100|0|1290688291609
LdbcQuery12|1650576725836|1650576726051|167|0|1290688296086
LdbcQuery10|1650576725845|1650576726219|4|0|1290688305040
LdbcQuery8|1650576725845|1650576726223|17|20|1290688305040
LdbcShortQuery4MessageContent|1650576726240|1650576726240|3|1|-1
LdbcShortQuery5MessageCreator|1650576726243|1650576726244|3|1|-1
LdbcShortQuery6MessageForum|1650576726247|1650576726247|3|1|-1
LdbcShortQuery7MessageReplies|1650576726250|1650576726251|3|0|-1
LdbcQuery13|1650576725867|1650576726254|3|1|1290688327425
LdbcShortQuery1PersonProfile|1650576726257|1650576726258|3|1|-1
LdbcShortQuery2PersonPosts|1650576726261|1650576726262|8|10|-1
LdbcShortQuery3PersonFriends|1650576726270|1650576726271|10|497|-1
LdbcShortQuery4MessageContent|1650576726281|1650576726282|3|1|-1
LdbcShortQuery5MessageCreator|1650576726285|1650576726285|3|1|-1
LdbcShortQuery6MessageForum|1650576726288|1650576726289|3|1|-1
LdbcShortQuery7MessageReplies|1650576726292|1650576726292|10|1|-1
LdbcShortQuery1PersonProfile|1650576726302|1650576726303|3|1|-1
LdbcShortQuery2PersonPosts|1650576726306|1650576726307|4|10|-1
LdbcShortQuery3PersonFriends|1650576726311|1650576726311|3|13|-1
LdbcShortQuery4MessageContent|1650576726314|1650576726315|3|1|-1
LdbcShortQuery5MessageCreator|1650576726318|1650576726319|3|1|-1
LdbcShortQuery6MessageForum|1650576726322|1650576726322|3|1|-1
LdbcShortQuery7MessageReplies|1650576726325|1650576726326|3|0|-1
LdbcQuery11|1650576725872|1650576726329|3|0|1290688331902
LdbcShortQuery4MessageContent|1650576726332|1650576726333|2|1|-1
LdbcShortQuery5MessageCreator|1650576726335|1650576726336|3|1|-1
LdbcShortQuery6MessageForum|1650576726339|1650576726339|4|1|-1
LdbcShortQuery7MessageReplies|1650576726343|1650576726344|3|0|-1
LdbcShortQuery1PersonProfile|1650576726347|1650576726347|3|1|-1
LdbcShortQuery2PersonPosts|1650576726350|1650576726351|6|10|-1
LdbcShortQuery3PersonFriends|1650576726357|1650576726358|4|99|-1
LdbcQuery14|1650576725881|1650576726362|3|0|1290688340856
LdbcShortQuery1PersonProfile|1650576726365|1650576726366|3|1|-1
LdbcShortQuery2PersonPosts|1650576726369|1650576726370|9|10|-1
LdbcShortQuery3PersonFriends|1650576726379|1650576726379|6|187|-1
LdbcShortQuery4MessageContent|1650576726385|1650576726386|3|1|-1
LdbcShortQuery5MessageCreator|1650576726389|1650576726390|3|1|-1
LdbcShortQuery6MessageForum|1650576726393|1650576726393|3|1|-1
LdbcShortQuery7MessageReplies|1650576726396|1650576726397|5|3|-1
LdbcShortQuery1PersonProfile|1650576726402|1650576726403|3|1|-1
LdbcShortQuery2PersonPosts|1650576726406|1650576726406|12|10|-1
LdbcShortQuery3PersonFriends|1650576726418|1650576726419|4|44|-1
LdbcQuery1|1650576725907|1650576726423|4|0|1290688367718
LdbcShortQuery4MessageContent|1650576726427|1650576726428|10|1|-1
LdbcShortQuery5MessageCreator|1650576726438|1650576726438|10|1|-1
LdbcShortQuery6MessageForum|1650576726448|1650576726449|14|1|-1
LdbcShortQuery7MessageReplies|1650576726463|1650576726464|37|6|-1
LdbcShortQuery1PersonProfile|1650576726501|1650576726501|4|1|-1
LdbcShortQuery2PersonPosts|1650576726505|1650576726506|6|10|-1
LdbcShortQuery3PersonFriends|1650576726512|1650576726512|5|119|-1
LdbcQuery4|1650576725925|1650576726518|3|0|1290688385626
LdbcShortQuery1PersonProfile|1650576726521|1650576726521|12|1|-1
LdbcShortQuery2PersonPosts|1650576726533|1650576726533|20|10|-1
LdbcShortQuery3PersonFriends|1650576726553|1650576726554|14|116|-1
LdbcQuery2|1650576725939|1650576726569|4|0|1290688399057
LdbcShortQuery4MessageContent|1650576726573|1650576726574|3|1|-1
LdbcShortQuery5MessageCreator|1650576726577|1650576726577|3|1|-1
LdbcShortQuery6MessageForum|1650576726580|1650576726580|2|1|-1
LdbcShortQuery7MessageReplies|1650576726582|1650576726583|4|7|-1
LdbcShortQuery1PersonProfile|1650576726587|1650576726588|2|1|-1
LdbcShortQuery2PersonPosts|1650576726590|1650576726590|4|10|-1
LdbcShortQuery3PersonFriends|1650576726594|1650576726595|3|9|-1
LdbcShortQuery4MessageContent|1650576726598|1650576726598|3|1|-1
